,logic_length
Acetoacetyl_CoA,2
Acetyl_CoA,1
Acetyl_CoA_acetyltransferase,1
Acetyl_CoA_acetyltransferase_RNA,1
Acetyl_CoA_acetyltransferase_gene,1
Cholesterol,2
Cyp51,1
Cyp51_RNA,1
Cyp51_gene,1
Desmosterol,1
Dimethyl_allyl_pyrophosphate,1
FPP_Synthase,1
FPP_Synthase_RNA,1
FPP_Synthase_gene,1
Farnesyl_pyrophosphate,2
Geranyl_pyrophosphate,2
HMG_CoA,8
HMG_CoA_Reductase,2
HMG_CoA_Reductase_RNA,1
HMG_CoA_Reductase_gene,1
HMG_CoA_Synthase,1
HMG_CoA_Synthase_RNA,1
HMG_CoA_Synthase_gene,1
Insig_SREBP_SCAP,1
Isopentenyl_pyrophosphate,1
Lanosterol,1
Mevalonic_Acid,2
Mevalonyl_pyrophosphate,1
SREBP_SCAP,2
Septdehydrocholesterol,1
Squaline,1
Statins,1
mSREBP,1
pSREBP,1
